number,value,params_w_neo4j,params_w_semantique,state
0,0.8704190447466179,0.9507635921035062,0.37516557872851514,COMPLETE
1,0.8704190447466179,0.5990598257128396,0.7322619478695936,COMPLETE
2,0.8704190447466179,0.15683852581586644,0.1568626218019941,COMPLETE
3,0.8704190447466179,0.8663099696291603,0.05902552855603126,COMPLETE
4,0.8704190447466179,0.7083645052182495,0.6015138967314656,COMPLETE
5,0.8704190447466179,0.9699399423098324,0.021563909801506645,COMPLETE
6,0.8685275403626767,0.21312677156759788,0.8326101981596213,COMPLETE
7,0.8704190447466179,0.18422110534358038,0.18264314223989353,COMPLETE
8,0.8704190447466179,0.5252316752006057,0.3049380007165782,COMPLETE
9,0.8704190447466179,0.2919379110578439,0.43251307362347363,COMPLETE
10,0.9031797424378868,0.006991185772861619,0.9515809709040819,COMPLETE
11,0.8995374333829058,0.014976884157507427,0.9695675736770779,COMPLETE
12,0.8970186209384794,0.03101630099134629,0.9901050411052026,COMPLETE
13,0.9027890582039276,0.006813043207951856,0.9871150084176239,COMPLETE
14,0.8706364092128142,0.3802246391768035,0.80543039607284,COMPLETE
15,0.9027890582039276,0.005640081871460975,0.8952259626613156,COMPLETE
16,0.86960839205641,0.11810203374473713,0.6591509433802644,COMPLETE
17,0.8706949739484713,0.3189679638746833,0.5862521272617195,COMPLETE
18,0.8706364092128142,0.4129630494260741,0.8934654164855248,COMPLETE
19,0.8754531513653891,0.08991872018262184,0.7389024510057344,COMPLETE
20,0.8685173781353935,0.24156712956340942,0.981803274659356,COMPLETE
21,0.8981845257866004,0.020531381036482648,0.8933856041629626,COMPLETE
22,0.8765296440060095,0.09855000343935989,0.8646703958102291,COMPLETE
23,0.9015732500735968,0.00881852291839703,0.7721576541764332,COMPLETE
24,0.8727863940258288,0.12311165399757627,0.9160127813039177,COMPLETE
25,0.8796702893749402,0.08143508672052992,0.99936307620291,COMPLETE
26,0.8689425527207046,0.2369911319508773,0.6984663832268085,COMPLETE
27,0.8691938647181575,0.16037136740854052,0.8269687333138469,COMPLETE
28,0.8797372249913611,0.06998780657049414,0.9207529218288031,COMPLETE
29,0.9039558595559908,0.0023340878654751727,0.5873190689713554,COMPLETE
30,0.8707735282858061,0.29009599692159616,0.4933068772170429,COMPLETE
31,0.8765296440060095,0.06107626444283898,0.5349120645260149,COMPLETE
32,0.8970865154952378,0.009965634640230828,0.3215293284411975,COMPLETE
33,0.8687784413934867,0.1464034010916514,0.6583385842919741,COMPLETE
34,0.8691938647181575,0.1778639045079099,0.9376235982066563,COMPLETE
35,0.8704190447466179,0.8630643945313994,0.7712873880463416,COMPLETE
36,0.8796804066786571,0.07123919910261299,0.8480085676344515,COMPLETE
37,0.8980729600262652,0.004152632860809705,0.20494916068557262,COMPLETE
38,0.8690592910831951,0.12817807356717323,0.6905550816352863,COMPLETE
39,0.8704190447466179,0.20609196034918803,0.10222897301044043,COMPLETE
40,0.8797372249913611,0.05967141962379467,0.7906988847360192,COMPLETE
41,0.9039642458565967,0.003794781506106459,0.9387622587780878,COMPLETE
42,0.8857386006792106,0.05484884788046433,0.9421213263093349,COMPLETE
43,0.9033990565327926,0.004266028823567381,0.8722705364671467,COMPLETE
44,0.8699900392597832,0.12291065046428563,0.8607017327404655,COMPLETE
45,0.8704190447466179,0.6715657303832017,0.39304165219875065,COMPLETE
46,0.8873675755133,0.04345973916446122,0.9511612583568364,COMPLETE
47,0.8688326391196273,0.1706068941062333,0.5766275102179316,COMPLETE
48,0.8727863940258288,0.0990721443343659,0.7370108000452563,COMPLETE
49,0.8795337852722169,0.039904263715413404,0.4632082564554128,COMPLETE
50,0.9059751791160864,0.002158962600819812,0.8726685643792238,COMPLETE
51,0.9031797424378868,0.006636489955700853,0.8708004014581734,COMPLETE
52,0.8847552592759031,0.04871499269896804,0.8206905368686483,COMPLETE
53,0.8765296440060095,0.09466277111071429,0.8685371773905117,COMPLETE
54,0.8699991354355842,0.1381283540367767,0.8909309331803986,COMPLETE
55,0.9040014474324144,0.0016811427270581481,0.6268909740338404,COMPLETE
56,0.8776049402693888,0.04291566882196669,0.6200265273775313,COMPLETE
57,0.8698801111607974,0.20631836809705217,0.5178352126488528,COMPLETE
58,0.8700707641251653,0.09441286003213378,0.6448171270263561,COMPLETE
59,0.9059310083198076,0.0010942786915125646,0.6977583025696726,COMPLETE
60,0.8857480501721081,0.0390051052123284,0.7032637495949795,COMPLETE
61,0.9059310083198076,0.0011343824975494476,0.5421705634822088,COMPLETE
62,0.9033990565327926,0.0026780289777497855,0.5512124395340721,COMPLETE
63,0.8727863940258288,0.08275033120702938,0.6243627249636792,COMPLETE
64,0.8774235268845861,0.04257054957638201,0.5801525968520276,COMPLETE
65,0.8704190447466179,0.49890155583970525,0.4360561650272915,COMPLETE
66,0.8688416385072146,0.11462638036690262,0.49078499609891335,COMPLETE
67,0.8689276760992751,0.15549541426839175,0.683408089149936,COMPLETE
68,0.8912877012363185,0.03008919684897126,0.7578316155756156,COMPLETE
69,0.8754531513653891,0.06942151426754078,0.5648830379936696,COMPLETE
70,0.9032173426554918,0.0033386752150762872,0.5996408950209764,COMPLETE
71,0.9039558595559908,0.0018886150847649817,0.5408764570598544,COMPLETE
72,0.8831645580796845,0.03113059274149767,0.5121003285911386,COMPLETE
73,0.8751869542353589,0.07587095080380159,0.6136457190016648,COMPLETE
