number,value,params_w_neo4j,params_w_semantique,state
0,0.9670414229075699,0.9507635921035062,0.37516557872851514,COMPLETE
1,0.9672431918079638,0.5990598257128396,0.7322619478695936,COMPLETE
2,0.9670414229075699,0.15683852581586644,0.1568626218019941,COMPLETE
3,0.9670414229075699,0.8663099696291603,0.05902552855603126,COMPLETE
4,0.9670414229075699,0.7083645052182495,0.6015138967314656,COMPLETE
5,0.9670414229075699,0.9699399423098324,0.021563909801506645,COMPLETE
6,0.9634987151731783,0.21312677156759788,0.8326101981596213,COMPLETE
7,0.9670414229075699,0.18422110534358038,0.18264314223989353,COMPLETE
8,0.9670414229075699,0.5252316752006057,0.3049380007165782,COMPLETE
9,0.967260351163837,0.2919379110578439,0.43251307362347363,COMPLETE
10,0.9498593632369609,0.006991185772861619,0.9522109347359311,COMPLETE
11,0.9670738314287497,0.46315472408588787,0.5573167994334295,COMPLETE
12,0.9672431918079638,0.4736570862618914,0.6599648457368391,COMPLETE
13,0.9670414229075699,0.6383337834558498,0.4233285736944551,COMPLETE
14,0.9672102335439694,0.369327319353563,0.7449162385512847,COMPLETE
15,0.9670414229075699,0.7476467931179038,0.5140846322474198,COMPLETE
16,0.9671700890779117,0.3290160965253605,0.9000098729011211,COMPLETE
17,0.9670738314287497,0.6193459366388874,0.7231680109667571,COMPLETE
18,0.9520153152585131,0.013663551848098143,0.46245923195916927,COMPLETE
19,0.9670414229075699,0.30820407169258174,0.30357878284290485,COMPLETE
20,0.9670414229075699,0.7910449624230576,0.8042029898559898,COMPLETE
21,0.9672431918079638,0.47245649830553804,0.6094647895703108,COMPLETE
22,0.9672431918079638,0.5430036376409998,0.6849205692768193,COMPLETE
23,0.9673040625149589,0.39799820729441804,0.6771243509281197,COMPLETE
24,0.967187077699881,0.3797522923446099,0.8067074950438411,COMPLETE
25,0.9637287791856586,0.2695288825882144,0.99936307620291,COMPLETE
26,0.9672431918079638,0.40916635450629524,0.513060690891415,COMPLETE
27,0.9626732678941723,0.11286414088114649,0.8712753444010695,COMPLETE
28,0.9670414229075699,0.6507217637253061,0.6258813658188388,COMPLETE
29,0.9670414229075699,0.5682317330047965,0.4254827562620653,COMPLETE
30,0.9672431918079638,0.2579810473503148,0.33500175109694474,COMPLETE
31,0.967260351163837,0.46027127821767033,0.66783877182427,COMPLETE
32,0.9673040625149589,0.428347214384987,0.7414120379887679,COMPLETE
33,0.9673040625149589,0.42190029968846304,0.742022216349313,COMPLETE
34,0.9673040625149589,0.40075894594939804,0.7565529481176008,COMPLETE
35,0.9673040625149589,0.39556371738948903,0.7499209645415422,COMPLETE
36,0.967260351163837,0.5230300456006072,0.7734339101557062,COMPLETE
37,0.9671608860685206,0.3500313994824343,0.8779044988996638,COMPLETE
38,0.9673204327145172,0.41203946586182105,0.6884734496672256,COMPLETE
39,0.9671700890779117,0.21341773256737762,0.5608443635003217,COMPLETE
40,0.9622715865519845,0.10318060173780524,0.8424152341860499,COMPLETE
41,0.9673204327145172,0.4341991808239599,0.7022469380842165,COMPLETE
42,0.967260351163837,0.4310216308207073,0.640467221221727,COMPLETE
43,0.9672431918079638,0.5077155381361843,0.7047262959865792,COMPLETE
44,0.9670414229075699,0.5876658828463708,0.5575551002973655,COMPLETE
45,0.967187077699881,0.31459787863094435,0.6713428188448235,COMPLETE
46,0.9664864708057366,0.23860827611128615,0.7870447040939783,COMPLETE
47,0.9670414229075699,0.9027544915666248,0.7025032503409234,COMPLETE
48,0.9674281470672251,0.4240232215805721,0.8270083111797402,COMPLETE
49,0.9673040625149589,0.5026356811729072,0.9269160867495254,COMPLETE
50,0.9670414229075699,0.6818055091450833,0.5710413666834705,COMPLETE
51,0.9673040625149589,0.4433516422658,0.842725582639971,COMPLETE
52,0.9672102335439694,0.36731522966771973,0.7244109135430814,COMPLETE
53,0.9674566740230681,0.42750554329725776,0.8174124768114809,COMPLETE
54,0.9674281470672251,0.4843252597370591,0.9363347344811699,COMPLETE
55,0.9673040625149589,0.5595184728176497,0.9596173677192209,COMPLETE
56,0.9671700890779117,0.3477703486124557,0.924382700645698,COMPLETE
57,0.9672102335439694,0.49444436888474946,0.9974569286243307,COMPLETE
58,0.9671565876642609,0.28886968401053786,0.8095923013076319,COMPLETE
59,0.9670414229075699,0.6076795214367671,0.11796527082201702,COMPLETE
60,0.9673040625149589,0.4799265261584994,0.896057295352998,COMPLETE
61,0.9673040625149589,0.4381655759116757,0.8179018745428124,COMPLETE
