label,n
GroupeCompétences,14579
Compétence,13939
OffreEmploi,7861
Métier,3039
Candidat,1105
Employeur,956
GroupeISCO,619
GroupeBaseMEPC,209
DomaineDétailléNCF,201
Secteur,190
DocChunk,142
Localisation,63
SousGroupeMEPC,44
DomaineSpécialiséNCF,31
GrandDomaineNCF,10
NiveauFormationNCF,9
GrandGroupeMEPC,8
DocumentReferentiel,3
