system,n_queries,n_relevant_in_pool,precision@1,recall@1,ndcg@1,mrr@1,hit_rate@1,precision@3,recall@3,ndcg@3,mrr@3,hit_rate@3,precision@5,recall@5,ndcg@5,mrr@5,hit_rate@5,precision@10,recall@10,ndcg@10,mrr@10,hit_rate@10
pgvector_only,69,11.4203,0.5942,0.0886,0.5942,0.5942,0.5942,0.5024,0.172,0.5457,0.6473,0.7101,0.487,0.2453,0.5387,0.6662,0.7971,0.4551,0.4423,0.5504,0.6854,0.942
pgvector_plus_graph,69,11.4203,0.7681,0.1145,0.7681,0.7681,0.7681,0.7246,0.273,0.7527,0.7995,0.8406,0.6812,0.389,0.7367,0.8053,0.8696,0.5957,0.6098,0.7381,0.8152,0.942
