query_id,candidat_id,system,n_relevant_in_pool,precision@1,recall@1,ndcg@1,mrr@1,hit_rate@1,precision@3,recall@3,ndcg@3,mrr@3,hit_rate@3,precision@5,recall@5,ndcg@5,mrr@5,hit_rate@5,precision@10,recall@10,ndcg@10,mrr@10,hit_rate@10
PPBZV2501020015622,PPBZV2501020015622,pgvector_only,11,1.0,0.09090909090909091,1.0,1.0,1.0,0.3333333333333333,0.09090909090909091,0.46927872602275644,1.0,1.0,0.6,0.2727272727272727,0.6164336326286644,1.0,1.0,0.5,0.45454545454545453,0.539641393863001,1.0,1.0
PPBZV2501020015622,PPBZV2501020015622,pgvector_plus_graph,11,1.0,0.09090909090909091,1.0,1.0,1.0,1.0,0.2727272727272727,1.0,1.0,1.0,1.0,0.45454545454545453,1.0,1.0,1.0,0.9,0.8181818181818182,0.9363792118010481,1.0,1.0
PPBZV2501210017844,PPBZV2501210017844,pgvector_only,10,1.0,0.1,1.0,1.0,1.0,0.6666666666666666,0.2,0.7039180890341347,1.0,1.0,0.6,0.3,0.639945385422766,1.0,1.0,0.4,0.4,0.48153499054313026,1.0,1.0
PPBZV2501210017844,PPBZV2501210017844,pgvector_plus_graph,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.13120507751234178,0.2,1.0,0.5,0.5,0.3725907541108227,0.2,1.0
PPBZV2501100016547,PPBZV2501100016547,pgvector_only,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.09803928583135704,0.1,1.0
PPBZV2501100016547,PPBZV2501100016547,pgvector_plus_graph,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.09803928583135704,0.1,1.0
PPBZV2501090016448,PPBZV2501090016448,pgvector_only,5,1.0,0.2,1.0,1.0,1.0,0.3333333333333333,0.2,0.46927872602275644,1.0,1.0,0.2,0.2,0.3391602052736161,1.0,1.0,0.3,0.6,0.544192623472237,1.0,1.0
PPBZV2501090016448,PPBZV2501090016448,pgvector_plus_graph,5,1.0,0.2,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.6,0.6,0.7227265726449519,1.0,1.0,0.3,0.6,0.7227265726449519,1.0,1.0
PPBZV2501170017510,PPBZV2501170017510,pgvector_only,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.07839826897867533,0.16666666666666666,1.0
PPBZV2501170017510,PPBZV2501170017510,pgvector_plus_graph,10,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1,0.23463936301137822,0.3333333333333333,1.0,0.2,0.1,0.16958010263680806,0.3333333333333333,1.0,0.4,0.4,0.3093521167391581,0.3333333333333333,1.0
PPBZV2501060016085,PPBZV2501060016085,pgvector_only,9,1.0,0.1111111111111111,1.0,1.0,1.0,0.3333333333333333,0.1111111111111111,0.46927872602275644,1.0,1.0,0.2,0.1111111111111111,0.3391602052736161,1.0,1.0,0.2,0.2222222222222222,0.3133940658859805,1.0,1.0
PPBZV2501060016085,PPBZV2501060016085,pgvector_plus_graph,9,1.0,0.1111111111111111,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.8,0.4444444444444444,0.8539316501572937,1.0,1.0,0.7,0.7777777777777778,0.8280156310666192,1.0,1.0
PPBZV2501070016186,PPBZV2501070016186,pgvector_only,12,1.0,0.08333333333333333,1.0,1.0,1.0,0.3333333333333333,0.08333333333333333,0.46927872602275644,1.0,1.0,0.4,0.16666666666666666,0.48522855511632257,1.0,1.0,0.4,0.3333333333333333,0.456899187845258,1.0,1.0
PPBZV2501070016186,PPBZV2501070016186,pgvector_plus_graph,12,1.0,0.08333333333333333,1.0,1.0,1.0,0.6666666666666666,0.16666666666666666,0.7039180890341347,1.0,1.0,0.8,0.3333333333333333,0.7860137352654724,1.0,1.0,0.9,0.75,0.8611375561264454,1.0,1.0
