modalite,nombre
Distribution,546
Administration,513
Informatique,430
Commerce,389
ONG / Humanitaire,342
Comptabilité,324
Santé,307
Tic,306
Marketing,296
Autre,290
Banque,287
Logistique,222
Finance,209
Communication,204
Gestion,145
