zone_localisation,pays_clean,ville_principale_clean,n,part_pct
International,États-Unis,Costa Mesa,1,0.01
International,États-Unis,Avon,1,0.01
International,États-Unis,Atlanta Metropolitan Area,1,0.01
International,États-Unis,Asheville,1,0.01
International,États-Unis,Antioch,1,0.01
International,États-Unis,Annapolis,1,0.01
International,États-Unis,Cheyenne,1,0.01
International,États-Unis,Charlotte,1,0.01
International,États-Unis,Carlsbad,1,0.01
International,États-Unis,Corona,1,0.01
International,États-Unis,Columbia,1,0.01
International,États-Unis,Colts Neck,1,0.01
International,États-Unis,Colorado,1,0.01
International,États-Unis,Coeur D'alene,1,0.01
International,États-Unis,Cleveland,1,0.01
International,États-Unis,Clackamas,1,0.01
International,États-Unis,Cincinnati Metropolitan Area,1,0.01
International,États-Unis,Fairfield,1,0.01
International,États-Unis,Exton,1,0.01
International,États-Unis,Evansville,1,0.01
International,États-Unis,Evanston,1,0.01
International,États-Unis,Elmsford,1,0.01
International,États-Unis,Elgin,1,0.01
International,États-Unis,Edison,1,0.01
International,États-Unis,Eden Prairie,1,0.01
International,États-Unis,Duluth,1,0.01
International,États-Unis,Des Moines,1,0.01
International,États-Unis,Denver,1,0.01
International,États-Unis,Dearborn,1,0.01
International,États-Unis,Dayton,1,0.01
International,États-Unis,Grayson,1,0.01
International,États-Unis,Grand Rapids,1,0.01
International,États-Unis,Grand Prairie,1,0.01
International,États-Unis,Goodyear,1,0.01
International,États-Unis,Goleta,1,0.01
International,États-Unis,Garland,1,0.01
International,États-Unis,Fresno,1,0.01
International,États-Unis,Fredericksburg,1,0.01
International,États-Unis,Frederick,1,0.01
International,États-Unis,Franklin,1,0.01
International,États-Unis,Fort Lupton,1,0.01
International,États-Unis,Fort Lauderdale,1,0.01
International,États-Unis,Forest Park,1,0.01
International,États-Unis,Florida,1,0.01
International,États-Unis,Fayetteville,1,0.01
International,États-Unis,Huntsville,1,0.01
International,États-Unis,Hillsboro,1,0.01
International,États-Unis,Hatboro,1,0.01
International,États-Unis,Hartford County,1,0.01
International,États-Unis,Hartford,1,0.01
International,États-Unis,Grover Beach,1,0.01
International,États-Unis,Greenville-Spartanburg-Anderson,1,0.01
International,États-Unis,Greater Rockford Area,1,0.01
