niveau,n,part,part_pct
Non renseigné,8428,0.6038546965680304,60.39
6,1949,0.13964318979723436,13.96
7,1301,0.09321487425664542,9.32
8,1164,0.08339901124883571,8.34
5,609,0.043634018771942396,4.36
4,447,0.032026939886795155,3.2
9,58,0.004155620835423085,0.42
1,1,7.164863509350147e-05,0.01
