secteur,offres,candidats,total,ratio_offres_candidats
Aeronautique,1,0,1,inf
Administration Publique - Éducation,1,0,1,inf
Agroalimentaire - Chimie,1,0,1,inf
Agroalimentaire - Banque,1,0,1,inf
Agroalimentaire - Transports,1,0,1,inf
Agroalimentaire - Import,1,0,1,inf
Equipements Mécaniques,1,0,1,inf
Equip. Électriques,1,0,1,inf
Culture,1,0,1,inf
Artisanat,1,0,1,inf
Aéronautique,1,0,1,inf
Bourses,1,0,1,inf
Cartographie,1,0,1,inf
Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation,0,1,1,0.0
Espaces Verts,1,0,1,inf
Froid,1,0,1,inf
Gestion Administrative,0,1,1,0.0
Fiscalité,1,0,1,inf
Gouvernance,1,0,1,inf
Géoinformatique,1,0,1,inf
Jardinage,1,0,1,inf
Manicure,1,0,1,inf
Offre De Formation,1,0,1,inf
Opticien,1,0,1,inf
Mécatronique,1,0,1,inf
Music,1,0,1,inf
Mecanique,1,0,1,inf
Protection,1,0,1,inf
Redacteur,1,0,1,inf
Photographie,1,0,1,inf
Secrétariat - Services Autres - Services Collectifs,1,0,1,inf
Secrétariat,1,0,1,inf
Secteur Public,1,0,1,inf
Science De L'Education,1,0,1,inf
Services Collectifs,1,0,1,inf
Services Autres - Services Collectifs,1,0,1,inf
Échange International,1,0,1,inf
Évènementiel,1,0,1,inf
