competence,n,part_offres_pct
FINANCE,660,4.73
Distribution,603,4.32
Commerce de gros,581,4.16
Commerce de détail,581,4.16
ADMINISTRATION,539,3.86
INFORMATIQUE,484,3.47
Banque,461,3.3
COMMERCE,459,3.29
COMPTABILITÉ,453,3.25
Assurance,433,3.1
MARKETING,430,3.08
ONG,424,3.04
Doit dispenser les cours dans l'une de ces matiere ( au choix),412,2.95
Commerce,375,2.69
Vente,362,2.59
GESTION,349,2.5
TIC,346,2.48
Télécommunications,346,2.48
Marketing & Distribution,343,2.46
Pétrole,341,2.44
