niveau,n,part,part_pct
1,10260,0.24843818102571552,24.84
5,9360,0.22664535812872294,22.66
7,8448,0.20456196425977044,20.46
4,6179,0.1496198363116858,14.96
6,3274,0.07927744684972637,7.93
3,1867,0.04520800038742796,4.52
8,1837,0.044481572957528207,4.45
Non renseigné,44,0.0010654268971863044,0.11
9,29,0.0007022131822364279,0.07
