duplicate_candidate_key,duplicate_candidate_count,duplicate_candidate_rank,source_row_number,offre_id,titre_poste,employeur,ville_region_raw,secteur_activite_raw,etl_completeness_score
01ea996836f129fbfcea,3,2,10317,OFFRE_010317_ee6d6cb5251d,Commercial / Vendeur (H/F),RH RECRUTEMENT,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
e96f1bad8f504e0e6b27,2,1,10319,OFFRE_010319_264110711608,Assistante / Secrétaire de Direction,RH RECRUTEMENT,Cameroun (ville non précisée),Autre,1.0
a67a5b3c64f83938f518,3,3,10326,OFFRE_010326_bf3bba2b2fc3,DIRECTEUR COMMERCIAL ET MARKETING H/F,TRUST AFRICA,Cameroun (ville non précisée),Marketing / Publicité,1.0
01f3c6ab1dbf96217094,2,1,10356,OFFRE_010356_040750f35ac0,Maçon,RH RECRUTEMENT,Cameroun (ville non précisée),Construction/ Immobilier,1.0
5d790b6ac2f59deee5bb,2,2,10367,OFFRE_010367_bfeb2d83fac7,Chargé de la Communication (H/F),CENTRE PASTEUR DU CAMEROUN,Cameroun (ville non précisée),Marketing / Publicité,1.0
b0f888dbd0837da9bbbe,2,1,10377,OFFRE_010377_edca4db0d464,Commercial Médical et Pharmaceutique (H/F),RH RECRUTEMENT,Cameroun (ville non précisée),Santé,1.0
949b8898192e140941ff,2,1,10380,OFFRE_010380_a027c4a08376,Développeur Drupal 6/7 (H/F),RH RECRUTEMENT,Cameroun (ville non précisée),TIC / Télécommunications,1.0
f47d920b4983a17c5663,2,1,10404,OFFRE_010404_12c71df3dba1,Analyste Financier (H/F) - Secteur Banque Assurance,RH RECRUTEMENT,Cameroun (ville non précisée),Banque / Services financiers / Assurance,1.0
872a99f2ecc86f417a0e,2,1,10406,OFFRE_010406_770481713aa8,Electricien - Secteur Construction / Bâtiment,RH RECRUTEMENT,Cameroun (ville non précisée),Construction/ Immobilier,1.0
236d52447a1c7147b398,2,1,10423,OFFRE_010423_4e44f3758f04,Responsable Marketing (H/F),RAZEL CAMEROUN,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
cf82eca7df2621a1eb73,2,1,10425,OFFRE_010425_e03abc097edb,Chef de Département Production,RAZEL CAMEROUN,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
43a1100940b5355d66e6,2,1,10426,OFFRE_010426_7ed8522c8024,Ingénieur Technico-commercial H/F,RAZEL CAMEROUN,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
9679cdf7a3760baa287c,2,1,10432,OFFRE_010432_f9b713252bdb,CONTRÔLEUR FINANCIER (H/F) - ABIDJAN,RAZEL CAMEROUN,Cameroun (ville non précisée),Banque / Services financiers / Assurance,1.0
e1dec0164dd75d616a51,3,1,10445,OFFRE_010445_7739a5c43b7f,Développeur Web,RAZEL CAMEROUN,Cameroun (ville non précisée),TIC / Télécommunications,1.0
e58fe7ed5586df11fcd7,2,1,10446,OFFRE_010446_5b4655060da3,Commercial H/F,RAZEL CAMEROUN,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
7e15c4c82161ee8c7168,2,1,10449,OFFRE_010449_2591573340cd,Ingénieur en BTP,RAZEL CAMEROUN,Cameroun (ville non précisée),Construction/ Immobilier,1.0
9679cdf7a3760baa287c,2,2,10456,OFFRE_010456_25b67ee1cf19,CONTRÔLEUR FINANCIER (H/F) ABIDJAN,RAZEL CAMEROUN,Cameroun (ville non précisée),Banque / Services financiers / Assurance,1.0
caf61bd06e388d84478b,2,1,10489,OFFRE_010489_9b7c8391300d,Agent Commercial H/F,RAZEL CAMEROUN,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
43a1100940b5355d66e6,2,2,10490,OFFRE_010490_39e4133e7ce6,Ingénieur Technico-commercial H/F,RAZEL CAMEROUN,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
e58fe7ed5586df11fcd7,2,2,10521,OFFRE_010521_2eaee10e0869,Commercial (H/F),RAZEL CAMEROUN,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
caf61bd06e388d84478b,2,2,10547,OFFRE_010547_80b56ac0e243,Agent Commercial H/F,RAZEL CAMEROUN,Cameroun (ville non précisée),Distribution / Commerce de gros / Commerce de détail,1.0
