type,cosine
intra_CANDIDAT,0.3581467866897583
intra_CANDIDAT,0.16808825731277466
intra_CANDIDAT,0.43804678320884705
intra_CANDIDAT,0.03136317804455757
intra_CANDIDAT,0.1378377377986908
intra_CANDIDAT,0.18161210417747498
intra_CANDIDAT,0.21067780256271362
intra_CANDIDAT,0.16171032190322876
intra_CANDIDAT,0.2033756524324417
intra_CANDIDAT,0.5466176271438599
intra_CANDIDAT,0.16589665412902832
intra_CANDIDAT,0.17791372537612915
intra_CANDIDAT,0.13616447150707245
intra_CANDIDAT,0.1279992014169693
intra_CANDIDAT,0.15124689042568207
intra_CANDIDAT,0.06513934582471848
intra_CANDIDAT,0.1409013569355011
intra_CANDIDAT,0.21607567369937897
intra_CANDIDAT,0.1689981073141098
intra_CANDIDAT,0.31784066557884216
intra_CANDIDAT,0.34637176990509033
intra_CANDIDAT,0.24344474077224731
intra_CANDIDAT,0.36697638034820557
intra_CANDIDAT,0.15160177648067474
intra_CANDIDAT,0.23493872582912445
intra_CANDIDAT,0.22588840126991272
intra_CANDIDAT,0.20452776551246643
intra_CANDIDAT,0.05567432567477226
intra_CANDIDAT,0.22313573956489563
intra_CANDIDAT,0.13050983846187592
intra_CANDIDAT,0.1857554018497467
intra_CANDIDAT,0.3589304983615875
intra_CANDIDAT,0.07961767166852951
intra_CANDIDAT,-0.0023727782536298037
intra_CANDIDAT,0.15348486602306366
intra_CANDIDAT,0.2836512625217438
intra_CANDIDAT,0.06479001045227051
intra_CANDIDAT,0.3799973726272583
intra_CANDIDAT,0.08546357601881027
intra_CANDIDAT,0.2856796979904175
intra_CANDIDAT,0.18390995264053345
intra_CANDIDAT,0.24059653282165527
intra_CANDIDAT,0.08412586897611618
intra_CANDIDAT,0.15844352543354034
intra_CANDIDAT,0.21033692359924316
intra_CANDIDAT,-0.015369784086942673
intra_CANDIDAT,0.1437285840511322
intra_CANDIDAT,0.028433650732040405
intra_CANDIDAT,0.1268293559551239
intra_CANDIDAT,0.12900102138519287
intra_CANDIDAT,0.3128487467765808
intra_CANDIDAT,0.04892430827021599
intra_CANDIDAT,0.23998551070690155
intra_CANDIDAT,0.17663061618804932
intra_CANDIDAT,0.20403890311717987
intra_CANDIDAT,0.9120174050331116
intra_CANDIDAT,0.19279895722866058
intra_CANDIDAT,0.33896610140800476
intra_CANDIDAT,0.11893810331821442
intra_CANDIDAT,0.18198443949222565
intra_CANDIDAT,0.7904186844825745
intra_CANDIDAT,0.08522386848926544
intra_CANDIDAT,0.33353519439697266
intra_CANDIDAT,0.0903119444847107
intra_CANDIDAT,0.08143211901187897
intra_CANDIDAT,0.14544208347797394
intra_CANDIDAT,0.1873621642589569
intra_CANDIDAT,0.15741387009620667
intra_CANDIDAT,0.1293143630027771
intra_CANDIDAT,-0.048943307250738144
intra_CANDIDAT,0.4089566171169281
intra_CANDIDAT,0.17844752967357635
intra_CANDIDAT,0.3482814133167267
intra_CANDIDAT,-0.0204844381660223
intra_CANDIDAT,0.025298967957496643
intra_CANDIDAT,0.2718798816204071
intra_CANDIDAT,0.27426010370254517
intra_CANDIDAT,0.08080010861158371
intra_CANDIDAT,0.19590389728546143
intra_CANDIDAT,0.2313849925994873
intra_CANDIDAT,0.5812979340553284
intra_CANDIDAT,0.1961081475019455
intra_CANDIDAT,0.1077686995267868
intra_CANDIDAT,0.2480754256248474
intra_CANDIDAT,0.25463277101516724
intra_CANDIDAT,0.5883976817131042
intra_CANDIDAT,0.2278928905725479
intra_CANDIDAT,0.5986762046813965
intra_CANDIDAT,0.31881606578826904
intra_CANDIDAT,0.9345099329948425
intra_CANDIDAT,0.14585010707378387
intra_CANDIDAT,0.09723837673664093
intra_CANDIDAT,0.39415642619132996
intra_CANDIDAT,0.07805540412664413
