label,n
Candidat,41298
GroupeCompétences,14579
OffreEmploi,13957
Compétence,13939
Métier,3039
Employeur,1638
GroupeISCO,619
Localisation,312
GroupeBaseMEPC,209
DomaineDétailléNCF,201
Secteur,192
DocChunk,142
SousGroupeMEPC,44
DomaineSpécialiséNCF,31
GrandDomaineNCF,10
NiveauFormationNCF,9
GrandGroupeMEPC,8
DocumentReferentiel,3
