entity_kind,entity_id,label_fr,umap_1,umap_2
COMPETENCE,http://data.europa.eu/esco/skill/dffed0c4-0de5-437c-90d6-a1619eacc05e,parler de son œuvre en public,-2.2012627,-0.6933336
COMPETENCE,http://data.europa.eu/esco/skill/f77cb8fa-5a5a-4909-a9a7-4d610c969c1d,intervenir en tant qu'assistant pour assurer l’hémostase,-0.20317271,-2.8092456
COMPETENCE,http://data.europa.eu/esco/skill/6474fc36-67ae-436b-9d39-c14402c6a89b,utiliser du matériel TIC,-0.7244604,-2.5207868
COMPETENCE,http://data.europa.eu/esco/skill/453b6898-de72-4ff9-b217-4a3cd377e155,surveiller la santé des usagers,0.39304844,-0.6757782
COMPETENCE,http://data.europa.eu/esco/skill/daa8bf2c-8539-4007-b9f5-8875bd2f07e6,surveiller des systèmes de filets de cages,-0.6944552,-3.0538535
COMPETENCE,http://data.europa.eu/esco/skill/78affa10-50af-4f02-8e16-a90b7ed84279,assurer la préparation des produits,-0.4617751,-2.3152606
COMPETENCE,http://data.europa.eu/esco/skill/1edd57be-9746-42ad-87e4-f468f0950628,rechercher de nouveaux ingrédients alimentaires,-0.78477585,-2.4369297
COMPETENCE,http://data.europa.eu/esco/skill/23b8dced-62a9-41f4-8b41-692e2d8e6d52,travailler en toute sécurité avec des matériaux chauds,-1.1867836,-2.1227744
COMPETENCE,http://data.europa.eu/esco/skill/86df7af2-f9f3-4c06-a500-7f1fba9e78fe,suivre les procédures en matière de santé et de sécurité dans une construction,0.17225595,-0.8309084
COMPETENCE,http://data.europa.eu/esco/skill/fa091c5d-5141-4864-8bb8-2c8331569ded,définir des mouvements de gréage,-1.2583795,-1.5554414
COMPETENCE,http://data.europa.eu/esco/skill/70de94f5-9575-4edd-bca7-c797b023b9d6,Oracle WebLogic,-2.317662,2.3982484
COMPETENCE,http://data.europa.eu/esco/skill/2f58fc20-4528-410b-877f-3dec775f1b4e,lubrifier des moteurs,-1.2649279,-3.5014882
COMPETENCE,http://data.europa.eu/esco/skill/627d72bd-8e1e-4382-8ec1-224044687d22,gérer le stock de linge,-1.0927871,-1.7595747
COMPETENCE,http://data.europa.eu/esco/skill/21b298f3-370d-4d9a-8601-ccfa7446446e,aider des personnes dans des zones contaminées,-0.12727658,-0.49606633
COMPETENCE,http://data.europa.eu/esco/skill/f0ff6f10-cbb4-44c0-acd5-ed17046b1396,installer des répéteurs de signal,-2.75812,1.8151064
COMPETENCE,http://data.europa.eu/esco/skill/d4ee5954-d60b-4d3b-8ea1-c8eaa0dcb606,trouver des parutions dans la presse écrite,-2.2537053,-0.6971723
COMPETENCE,http://data.europa.eu/esco/skill/9bb7a97a-1a16-431e-8ea6-ad0f9f59aa0a,objectifs de contrôle de l’information et des technologies associées,-2.263103,2.0204003
COMPETENCE,http://data.europa.eu/esco/skill/1e25d043-0307-4e50-8a19-9e7cce22caea,évaluer les besoins de conservation,-0.9176515,-2.111223
COMPETENCE,http://data.europa.eu/esco/skill/9e30c91c-a598-4686-80db-8e934aa75bcf,examiner l’alimentation d’une machine,-0.264735,-2.9542813
COMPETENCE,http://data.europa.eu/esco/skill/321f7ade-ba43-4923-a432-54df75ec80a5,effectuer une traduction orale consécutive,-1.8442227,-1.2363479
COMPETENCE,http://data.europa.eu/esco/skill/acecc13c-90fa-406f-81e3-eb71bca47ae5,remplir des fiches de rapport d’activité,-0.9032818,2.7232838
