entity_kind,entity_id,norme,pc1,pc2
COMPETENCE,http://data.europa.eu/esco/skill/0ffed47f-d320-48cf-988d-40449825085c,1.0,-0.3129756410823633,-0.11797284030450553
CANDIDAT,PPPNR2512090054373,0.9999994,0.09908832363843981,0.17926526166291087
CANDIDAT,PPBZV2509300045829,1.0000007,0.11719817293021363,-0.06220207791216365
OFFRE_EMPLOI,OFFRE_007968_6bbc40f8a239,1.0000004,-0.4502371581372499,-0.1567792359528969
CANDIDAT,PPPNR2503310024383,1.0000002,0.29713736745674524,-0.26337392675622745
CANDIDAT,PPPNR2505140028376,1.0,0.2068851888228905,-0.20765616124139985
CANDIDAT,PPBZV2508200039273,0.9999998,0.3136404793854777,0.08768362016189958
COMPETENCE,http://data.europa.eu/esco/skill/feb717ff-fba6-4a91-aa10-ee11cf2da6b4,1.0000001,-0.1270086730871004,-0.15504702711684823
CANDIDAT,PPPNR2504040024982,1.0000002,0.2603311724756106,-0.2154383433933494
CANDIDAT,PPBZV2504170026174,1.0000001,-0.016456658501742875,0.22543851632510778
COMPETENCE,http://data.europa.eu/esco/skill/3d28dfc8-1565-4298-8fed-8a27512322ca,1.0000005,-0.24635288932568433,-0.02292720251394152
CANDIDAT,PPBZV2510090047151,0.99999976,0.0836316095238711,0.17798300553962693
OFFRE_EMPLOI,OFFRE_004599_c1579a57efd7,0.99999994,-0.6545897983240401,-0.026914825245709886
OFFRE_EMPLOI,OFFRE_003922_40195927edb8,0.9999999,-0.49456103426735926,0.013689607626534024
CANDIDAT,PPBZV2508180038933,0.9999999,0.3888122554887021,-0.409038926156295
COMPETENCE,http://data.europa.eu/esco/skill/7800332c-a8eb-4792-8d72-50d509616154,0.99999994,-0.20264047070040137,-0.16475923740742465
OFFRE_EMPLOI,OFFRE_002358_911999382109,0.9999998,-0.3943965610034721,-0.1786046718514904
CANDIDAT,PPPNR2510210048363,0.9999992,0.3829333022889625,-0.13248333529989792
OFFRE_EMPLOI,OFFRE_004142_f5f734b3717d,0.9999999,-0.5988706589430176,-0.001503122454778377
COMPETENCE,http://data.europa.eu/esco/skill/3fc4af68-4d22-4be0-82d7-fa7267577612,1.0000002,-0.09905703622391887,-0.29662701958831866
COMPETENCE,http://data.europa.eu/esco/skill/a4b7f1be-7058-45e4-ac90-66580499187f,1.0000002,-0.23777854164063164,-0.16101964032100044
CANDIDAT,PPPNR2504070025101,1.0000001,-0.06337453167618716,0.07435603270197733
OFFRE_EMPLOI,OFFRE_010694_604ee5748a58,1.0000004,-0.20024868700049808,-0.1259371461552958
CANDIDAT,PPBZV2512160055759,1.0000005,0.1288754556774701,0.18862940551433335
CANDIDAT,PPPNR2508290040166,0.9999999,0.40281060204339997,-0.1487095703544222
CANDIDAT,PPPNR2502270021410,0.9999998,0.24069646313553186,-0.021875646909249428
CANDIDAT,PPPNR2503070022227,1.0000002,0.45687714401317847,-0.42888422520561476
COMPETENCE,http://data.europa.eu/esco/skill/715aabf1-6663-488d-9984-4336ba8c3661,1.0,-0.06359535453686693,-0.3111976979795934
COMPETENCE,http://data.europa.eu/esco/skill/5079319b-b12d-46ae-8ba7-78a3aa242e6e,0.9999999,-0.19811856021861335,-0.21602825569110154
OFFRE_EMPLOI,OFFRE_009318_19098ab0e208,0.99999994,-0.38367698811124096,0.010482704832513437
COMPETENCE,http://data.europa.eu/esco/skill/814de1ac-90f5-4e23-9363-a48742e1e721,1.0000004,-0.18826499698492988,-0.25812535110095325
CANDIDAT,PPPNR2505090027787,1.0000002,0.1852018912195724,-0.14735834678427873
CANDIDAT,PPPNR2509230044607,1.0000005,0.3002837918858941,0.30336638102084185
CANDIDAT,PPPNR2509230044479,1.0,0.2286478353888202,-0.095317710505577
CANDIDAT,PPPNR2502120020118,1.0000001,0.2534067595049365,0.09317159112068962
CANDIDAT,PPPNR2509170043530,1.0000001,0.06727226991812432,0.13912309071440346
CANDIDAT,PPPNR2512010053293,0.9999997,0.1944197744986616,0.6297209167424782
OFFRE_EMPLOI,OFFRE_010419_15e68b90dd29,1.0,-0.31916327713308257,0.1530965365274266
CANDIDAT,PPPNR2508170038840,1.0000002,0.20340128104674834,-0.11645592810294611
CANDIDAT,PPPNR2509020040560,1.0000001,0.29092959699806265,-0.23832180340932102
COMPETENCE,http://data.europa.eu/esco/skill/b048b4d3-80d6-4a6a-a02d-804faf0e2632,1.0000001,-0.06360894262737919,-0.14320457228012168
CANDIDAT,PPBZV2509260045192,1.0000001,0.06401765120265523,-0.034031548061730525
CANDIDAT,PPBZV2501150017211,0.9999999,0.43658001355823645,-0.12222357578821524
OFFRE_EMPLOI,OFFRE_012736_2f3269a513bd,0.99999946,-0.09624567571609928,-0.19656374477426902
CANDIDAT,PPBZV2509040041003,1.0000001,0.03446001134990829,0.32134175011023597
CANDIDAT,PPPNR2505220029404,0.9999999,0.489193754768452,-0.018297595514150843
CANDIDAT,PPPNR2509180043713,1.0,0.17204110711451523,0.08161250008619038
OFFRE_EMPLOI,OFFRE_001427_59d645158fa0,0.99999994,-0.39777718567458015,-0.1807479385344821
COMPETENCE,http://data.europa.eu/esco/skill/36e9c099-614e-44f1-ab0a-5e6fda4a0763,1.0000001,-0.17751679488285,0.004249150707196974
CANDIDAT,PPBZV2510060046659,1.0000002,0.1813882149586402,-0.15719664157590174
OFFRE_EMPLOI,OFFRE_001572_dd193e625a74,1.0000002,0.042802865087902896,-0.17766775348952962
CANDIDAT,PPBZV2511240052465,1.0000002,0.16115809132924563,-0.046676439316067464
