system,n_queries,n_relevant_in_pool,precision@1,recall@1,ndcg@1,mrr@1,hit_rate@1,precision@3,recall@3,ndcg@3,mrr@3,hit_rate@3,precision@5,recall@5,ndcg@5,mrr@5,hit_rate@5,precision@10,recall@10,ndcg@10,mrr@10,hit_rate@10
pgvector_only,69,11.4058,0.5942,0.0883,0.5942,0.5942,0.5942,0.5072,0.1739,0.5491,0.6546,0.7246,0.4957,0.263,0.5495,0.6742,0.8116,0.4623,0.4491,0.5575,0.6908,0.942
pgvector_plus_graph,69,11.4058,0.7536,0.1004,0.7536,0.7536,0.7536,0.7246,0.2706,0.7464,0.7923,0.8406,0.687,0.3851,0.7339,0.7988,0.8696,0.6087,0.6147,0.7392,0.8093,0.942
