node_id,label,nom,degree,degree_centrality,pagerank,betweenness_approx_top_degree
4:14eb8beb-5181-4c72-9add-2d88d47b846f:7234,Compétence,supprimer un virus informatique ou un logiciel malveillant d’un ordinateur,3497,0.048224505274770735,0.003380089959644364,0.00010306423176308222
4:14eb8beb-5181-4c72-9add-2d88d47b846f:32444,NiveauFormationNCF,8,3001,0.0413845411294215,0.0032395313314466157,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:8792,Compétence,linguistique informatique,3316,0.04572846997172999,0.0032095410540421885,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:11365,Compétence,avoir des connaissances en informatique,3403,0.04692822174722471,0.0031765976919249776,0.009762408732243027
4:14eb8beb-5181-4c72-9add-2d88d47b846f:10493,Compétence,procédures des services de vente,3209,0.04425291319037441,0.0031367070338399815,7.537178674982771e-06
4:14eb8beb-5181-4c72-9add-2d88d47b846f:3463,Compétence,former des agents de sécurité,2826,0.038971247328139,0.0028864312447452064,4.7037139429976827e-07
4:14eb8beb-5181-4c72-9add-2d88d47b846f:8183,Compétence,aider des étudiants à rédiger leur mémoire,1698,0.023415844997586706,0.0028861355905252534,6.783559893036702e-05
4:14eb8beb-5181-4c72-9add-2d88d47b846f:3784,Compétence,principes de sécurité en équitation,2754,0.03797834930703992,0.0028131682073459846,2.073967687458354e-06
4:14eb8beb-5181-4c72-9add-2d88d47b846f:5875,Compétence,assurer la sécurité de machines,2537,0.034985864993449634,0.0025394636130848737,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:12369,Compétence,gestion des ressources humaines,2455,0.03385506446942012,0.002425909787896373,4.309277434796046e-05
4:14eb8beb-5181-4c72-9add-2d88d47b846f:10450,Compétence,assurer la liaison avec les membres du conseil d’administration,2394,0.03301385920154451,0.0023454806814147073,3.293994800270925e-05
4:14eb8beb-5181-4c72-9add-2d88d47b846f:6482,Compétence,fixer des dispositifs de sécurité,2311,0.03186926842722195,0.0023152449958900425,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:11423,Compétence,utiliser des locomotives de manœuvre,2231,0.03076604840377853,0.0022173940909421493,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:3562,Compétence,utiliser des techniques de conseil,2214,0.0305316141487968,0.002181541541168864,0.000657173797997317
4:14eb8beb-5181-4c72-9add-2d88d47b846f:4797,Compétence,mettre en place des protocoles de sécurité sur un site,2126,0.029318072123009034,0.0021306497382744395,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:48515,Localisation,Cameroun (Ville Non Précisée),2029,0.02798041784458388,0.002099501725403837,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:32439,NiveauFormationNCF,3,1867,0.025746397297110944,0.002094092186311759,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:48475,Localisation,Limbé,832,0.011473488243811626,0.0020344246744098443,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:13214,Compétence,motiver le personnel pour atteindre les objectifs de vente,2061,0.02842170585396125,0.0020154563298929104,6.26156007181856e-07
4:14eb8beb-5181-4c72-9add-2d88d47b846f:95,Compétence,facteurs humains concernant la sécurité,1964,0.027084051575536096,0.0019681071918960743,1.5834550966887404e-06
4:14eb8beb-5181-4c72-9add-2d88d47b846f:6184,Compétence,fournir un conseil pharmaceutique,1940,0.026753085568503067,0.0019200905795689965,1.7445859246750033e-06
4:14eb8beb-5181-4c72-9add-2d88d47b846f:46650,Secteur,Services,827,0.011404536992346411,0.0018858812009241832,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:10549,Compétence,conseil en gestion,1815,0.025029304281872715,0.0017927288450249757,1.0628578817405929e-05
4:14eb8beb-5181-4c72-9add-2d88d47b846f:46651,Secteur,Autre,1548,0.021347307453630282,0.0017732526572998956,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:10671,Compétence,organiser des événements d’échantillonnage sur des points de vente au détail,1810,0.0249603530304075,0.0017713977285171213,2.6829181595835414e-07
4:14eb8beb-5181-4c72-9add-2d88d47b846f:866,Compétence,méthodes de conseil,1668,0.023002137488795423,0.0016404171674923738,0.00028859441076835746
4:14eb8beb-5181-4c72-9add-2d88d47b846f:11652,Compétence,droit commercial,1703,0.02348479624905192,0.0016383357865252253,0.0003577497552404207
4:14eb8beb-5181-4c72-9add-2d88d47b846f:2658,Compétence,règles de comptabilité,1644,0.022671171481762394,0.001601578155468319,4.806800241627288e-05
4:14eb8beb-5181-4c72-9add-2d88d47b846f:2508,Compétence,systèmes aliments-énergie intégrés,1584,0.021843756464179825,0.001558870663295256,3.0076526554333885e-06
4:14eb8beb-5181-4c72-9add-2d88d47b846f:7187,Compétence,estimer les coûts de restauration,1595,0.021995449217403297,0.0015411488426636249,0.001109481791740807
4:14eb8beb-5181-4c72-9add-2d88d47b846f:7875,Compétence,énergie de substitution,1548,0.021347307453630282,0.0015196581563446199,3.4442290994361453e-05
4:14eb8beb-5181-4c72-9add-2d88d47b846f:7738,Compétence,conseiller des clients sur les besoins en énergie de produits,1541,0.021250775701578982,0.0015165525882102496,2.480097692403751e-07
4:14eb8beb-5181-4c72-9add-2d88d47b846f:4835,Compétence,travailler dans une équipe de restauration,1530,0.021099082948355514,0.0014981793909249594,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:3399,Compétence,intégrer l’énergie biogaz dans des bâtiments,1518,0.020933599944839,0.0014945188292853106,3.621330337007971e-07
4:14eb8beb-5181-4c72-9add-2d88d47b846f:2942,Compétence,évaluer des procédures de restauration,1509,0.020809487692201614,0.0014683976325573062,0.00013516752740524442
4:14eb8beb-5181-4c72-9add-2d88d47b846f:5154,Compétence,conception de bâtiments durables,1466,0.020216506929600774,0.0014567124398168628,6.994649866420359e-08
4:14eb8beb-5181-4c72-9add-2d88d47b846f:1164,Compétence,potentiel d’économies d’énergie des systèmes de changement de vitesse automatiques,1431,0.019733848169344273,0.0014102644438021338,5.2926859653277733e-08
4:14eb8beb-5181-4c72-9add-2d88d47b846f:11383,Compétence,estimer les coûts de restauration d’objets d’antiquité,1435,0.019789009170516444,0.0014061923431034481,1.6424971575496173e-06
4:14eb8beb-5181-4c72-9add-2d88d47b846f:46652,Secteur,Administration,1086,0.014976211818244501,0.0013998772825330854,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:10246,Compétence,opérations de restauration,1378,0.019002964903813004,0.0013508262042808872,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:152,Compétence,planifier l’espace commercial,1319,0.01818934013652348,0.0012859512947875455,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:48478,Localisation,Kribi,515,0.007101978900917052,0.0012270188793319199,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:48542,Localisation,Pointe-Noire,1226,0.016906846859270495,0.0011978248520061643,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:46653,Secteur,Éducation,471,0.006495207888023167,0.0011760766599761047,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:1351,Compétence,prévoir l’évolution des prix de l’énergie,1152,0.015886368337585326,0.0011379859026347994,5.51206753199479e-06
4:14eb8beb-5181-4c72-9add-2d88d47b846f:10587,Compétence,gérer un service de restauration,1102,0.015196855822933186,0.0010784713531393228,2.831061890176918e-05
4:14eb8beb-5181-4c72-9add-2d88d47b846f:46645,Secteur,Finance,710,0.0097910777080604,0.0010730329802226602,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:46647,Secteur,Commerce,816,0.01125284423912294,0.0010696150630213896,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:48483,Localisation,Yaoundé (Ekoumdoum),414,0.005709163621319727,0.0010405143602948076,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:8540,Compétence,système de santé,1058,0.014590084810039303,0.001008320197749713,6.743213515434636e-05
4:14eb8beb-5181-4c72-9add-2d88d47b846f:6119,Compétence,aider les utilisateurs de soins de santé à être autonomes,1032,0.01423153830242019,0.0009877200041055218,1.2741079295770684e-08
4:14eb8beb-5181-4c72-9add-2d88d47b846f:13422,Compétence,évaluer les services de santé au sein d’une communauté,993,0.01369371854099152,0.0009498910661564827,2.1533676727404125e-07
4:14eb8beb-5181-4c72-9add-2d88d47b846f:5322,Compétence,garantir la santé et la sécurité dans une opération de fabrication,970,0.013376542784251533,0.0009244574397786112,4.479198267141947e-05
4:14eb8beb-5181-4c72-9add-2d88d47b846f:46648,Secteur,Industrie,538,0.007419154657657036,0.0008614270721033286,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:12693,Compétence,services de santé psychologique,892,0.012300903261394195,0.0008529534170303267,3.330726177005701e-08
4:14eb8beb-5181-4c72-9add-2d88d47b846f:6431,Compétence,planifier des campagnes de marketing sur les médias sociaux,888,0.012245742260222023,0.0008230893993326418,2.3378583087307167e-06
4:14eb8beb-5181-4c72-9add-2d88d47b846f:48541,Localisation,Brazzaville,827,0.011404536992346411,0.0008190108491167901,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:10868,Compétence,méthodes d’assurance qualité,842,0.011611390746742053,0.000805355351300311,0.0032264423363321374
4:14eb8beb-5181-4c72-9add-2d88d47b846f:4842,Compétence,mettre en place un système de contrôle de la documentation,807,0.011128731986485554,0.0007968643753181852,1.663265476902277e-07
4:14eb8beb-5181-4c72-9add-2d88d47b846f:6700,Compétence,utiliser des dispositifs de communication,816,0.01125284423912294,0.0007923377756779065,0.0006268103621712797
4:14eb8beb-5181-4c72-9add-2d88d47b846f:4767,Compétence,assurer la conformité à la réglementation sur les soins de santé,822,0.011335585740881197,0.0007857552850840529,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:6212,Compétence,contrôler le lait,776,0.010701234227401227,0.0007672471147036079,3.9566050185089944e-07
4:14eb8beb-5181-4c72-9add-2d88d47b846f:7517,Compétence,économie,759,0.0104667999724195,0.0007611609079409781,0.0009416656488990113
4:14eb8beb-5181-4c72-9add-2d88d47b846f:13853,Compétence,formuler des observations sur le style de communication des patients,768,0.010590912225056886,0.0007503553622070366,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:1402,Compétence,utiliser un système de communication complexe,769,0.010604702475349928,0.0007493761277503819,1.444794212536652e-06
4:14eb8beb-5181-4c72-9add-2d88d47b846f:48480,Localisation,Douala,713,0.00983244845893953,0.0007261960161590174,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:11662,Compétence,respecter des listes de contrôle,716,0.009873819209818658,0.0007040148224193543,9.377430366983132e-05
4:14eb8beb-5181-4c72-9add-2d88d47b846f:3091,Compétence,entretenir des systèmes de communication interne,680,0.009377370199269116,0.0006619869707621953,8.221255543949673e-05
4:14eb8beb-5181-4c72-9add-2d88d47b846f:12104,Compétence,communication électronique,663,0.00914293594428739,0.0006384556649074386,0.00040192117496629294
4:14eb8beb-5181-4c72-9add-2d88d47b846f:48484,Localisation,Bafoussam,580,0.007998345169964834,0.0006188399610620538,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:1053,Compétence,mettre en œuvre des stratégies de marketing,674,0.009294628697510859,0.0005935721744083913,0.0029063958176074544
4:14eb8beb-5181-4c72-9add-2d88d47b846f:46710,Secteur,ONG / Humanitaire,373,0.005143763359304971,0.0005860118244824837,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:8677,Compétence,gérer l’administration du personnel,653,0.00900503344135696,0.0005821488150216374,0.008595922247787028
4:14eb8beb-5181-4c72-9add-2d88d47b846f:13258,Compétence,nouer le dialogue avec divers groupes de jeunes,550,0.00758463766117355,0.0005780534800317902,0.0
4:14eb8beb-5181-4c72-9add-2d88d47b846f:8481,Compétence,enquêter sur divers sujets,545,0.007515686409708336,0.0005728369042342181,0.0
