index,latence_ms_top10
count,25.0
mean,34.314420001464896
std,34.0227359543688
min,1.1815000034403056
25%,13.832700002240017
50%,30.889899993781
75%,47.83529999258462
90%,64.41412000567655
max,160.40370000700932
