entity_kind,entity_id,label_fr,pc1,pc2
COMPETENCE,http://data.europa.eu/esco/skill/37533674-1751-4c5c-882f-f0ff935a8cae,procédé de revêtement par trempage,-0.21226647088774975,-0.14914522456013865
COMPETENCE,http://data.europa.eu/esco/skill/bf298db2-b90e-4739-85ca-9c3003103fab,gérer la localisation de logiciels,0.03638215945622571,-0.08113395412298897
COMPETENCE,http://data.europa.eu/esco/skill/b4e083dd-e532-4bd5-870a-3815f8c94950,fournir des services de communication radio dans des situations d’urgence,0.04384008051352514,-0.12072512119983833
COMPETENCE,http://data.europa.eu/esco/skill/04bd6e5b-9f81-4c3d-a81f-d7ac2c08dfd9,comprendre le pendjabi parlé,0.04319290950146679,-0.15787466134924347
COMPETENCE,http://data.europa.eu/esco/skill/c051d374-68f8-4ad7-83b2-d7884fc0555d,élaborer un calendrier médiatique,-0.05211745617080607,-0.19148505802699697
COMPETENCE,http://data.europa.eu/esco/skill/5fa6cd2f-9bab-4afa-a184-2d2f1401b770,rédiger des comptes rendus de réunion,-0.021988579670133405,-0.23609138822646783
COMPETENCE,http://data.europa.eu/esco/skill/71581d4b-65e2-4d60-af92-50f07ae39e9c,variétés d’amidon,-0.1020455811816729,-0.16859926362529107
COMPETENCE,http://data.europa.eu/esco/skill/9f0e78ef-bbe4-4d25-a5a9-f0e98ee99da2,évaluer le comportement à risque de délinquants,-0.034799483728584366,-0.10402880749020797
COMPETENCE,http://data.europa.eu/esco/skill/c10d5d87-36cf-42f5-8a12-e560fb5f4af8,faire preuve de compétences interculturelles,0.13442972223257627,-0.380018736502304
COMPETENCE,http://data.europa.eu/esco/skill/80e7418e-7434-456c-85e1-e8aef626a8c0,coordonner la fourniture d’un service de restauration collective,-0.15721846854853674,-0.1172791533058183
COMPETENCE,http://data.europa.eu/esco/skill/eee446ff-f093-4cfe-abc4-cb58c7199f3b,surveiller un processus de mélange d'huiles,-0.2880050721345245,-0.2592136253860866
COMPETENCE,http://data.europa.eu/esco/skill/3652c7df-362c-4b44-a193-52713c566106,styles de nage,-0.15402867235250622,-0.12712011024725306
COMPETENCE,http://data.europa.eu/esco/skill/c0949c80-94c5-4bf1-8e05-ebed75807c01,assurer la liaison avec les membres du conseil d’administration,0.1810261863266519,-0.05862134272378398
COMPETENCE,http://data.europa.eu/esco/skill/64d1250f-1c2b-4bea-929e-626ba927ea35,approche factuelle en radiographie,0.0883447094537618,-0.10546743431563814
COMPETENCE,http://data.europa.eu/esco/skill/a833fceb-c552-4a5c-a5cf-4163313995c9,préparer les équipements pour les opérations de navigation,0.09165742767694528,-0.08343074390779995
COMPETENCE,http://data.europa.eu/esco/skill/364b3628-c750-436a-8f5c-1a75dd5c6648,se tenir informé des dernières parutions de livres,-0.18290490872727797,-0.2612199628037905
COMPETENCE,http://data.europa.eu/esco/skill/70c573a8-de56-45cc-ae69-0a1073eef2b3,méthodes d'épreuvage,-0.10956501918735659,-0.02251246222584323
COMPETENCE,http://data.europa.eu/esco/skill/6cd29d73-e352-40b4-89c5-cdb3faff0a38,gérer une équipe de sécurité,0.23466378771532176,-0.06575938756176603
COMPETENCE,http://data.europa.eu/esco/skill/4b905e0b-6323-49fb-aca2-e1bf8c3d5a81,superviser des activités de planification d’exploitation minière,-0.09311282651716773,-0.06156639286781926
COMPETENCE,http://data.europa.eu/esco/skill/33dd30c8-848d-4c65-87ce-a319e694ae46,alimenter une machine en verre miroir,-0.13381550953563898,-0.21130818304235197
COMPETENCE,http://data.europa.eu/esco/skill/1f618933-1c1b-4b49-91f7-d567d25406bf,assurer la liaison avec les entreprises de transport,-0.10534599926320364,-0.10397855891673269
COMPETENCE,http://data.europa.eu/esco/skill/247b9f2d-e2f6-4c12-87f7-8b6e4f9c4420,entretenir une zone de jeu,-0.09267783698908733,-0.1648410953841899
COMPETENCE,http://data.europa.eu/esco/skill/77390acd-7cf6-4cb2-895a-16bc6b6d2058,faune et flore sauvages,-0.24158376390408454,-0.10803330482195705
COMPETENCE,http://data.europa.eu/esco/skill/70bdcb55-eb38-4cfc-b346-a2dd9f65b06f,superviser l’impression de publications touristiques,-0.035105295947195594,-0.24765624057733768
COMPETENCE,http://data.europa.eu/esco/skill/f88002a8-6355-4d33-9496-285c166ff375,consommation électrique des TIC,-0.000701835014820965,-0.17525643387145845
COMPETENCE,http://data.europa.eu/esco/skill/6db3ac8e-8636-4ced-965b-75e35c3193c3,esthétique,-0.09991631092591148,-0.24893132021698894
COMPETENCE,http://data.europa.eu/esco/skill/84dfe7a9-2765-44c6-a5dd-d03c4e1a65c0,effectuer une biopsie,-0.26128656535298517,0.041226448440340464
COMPETENCE,http://data.europa.eu/esco/skill/44832432-3bcc-4e62-8696-0411dd28e4b7,procédés de récupération des liquides de gaz naturel,-0.18432223930998945,-0.03338445230127266
COMPETENCE,http://data.europa.eu/esco/skill/3597b613-de06-45d8-89a4-6b01ceb1c3a8,organiser des séances de groupe sur la nutrition,-0.06643020280973194,-0.1968058911599718
COMPETENCE,http://data.europa.eu/esco/skill/60358919-aa4c-4fc4-b687-14597dbbc752,réaliser une opération de microchirurgie reconstructrice,-0.13680634294752642,0.06955910300844706
COMPETENCE,http://data.europa.eu/esco/skill/73576419-31c2-4e45-8e30-ab1afec3db4e,utiliser des matériaux et composants durables,-0.26514851140060236,-0.13941750946330775
COMPETENCE,http://data.europa.eu/esco/skill/5b6abc4b-0cfe-4178-845d-479da3d2d699,pesticides,-0.2428299815211742,-0.054632082413882926
COMPETENCE,http://data.europa.eu/esco/skill/32a76797-6235-4659-869f-c691ffd30463,paléoclimatologie,-0.17919601191620763,0.060303230082993105
COMPETENCE,http://data.europa.eu/esco/skill/271a36a0-bc7a-43a9-ad29-0a3f3cac4e57,rédiger une évaluation des risques sur la représentation d'une production artistique,-0.13477103385949282,-0.31922005315882634
COMPETENCE,http://data.europa.eu/esco/skill/3e71ddfd-fff4-4c8d-a510-a46f4e2edb6b,procédures d’essai de dispositifs médicaux,-0.034032733432461604,0.11222478696789892
COMPETENCE,http://data.europa.eu/esco/skill/9b1da480-3212-420d-9eae-aaa71427f698,exploiter du matériel d’abattoir,-0.30465165176527453,-0.023535092388407
COMPETENCE,http://data.europa.eu/esco/skill/35ccdf6c-6928-4ad1-967f-c984134b6bd9,appliquer des couches de couleur,-0.4590559053722322,-0.15597576818203693
COMPETENCE,http://data.europa.eu/esco/skill/e56fc49b-b8e6-445f-87f6-4e671f1c189b,fournir des services liés à l’intimité physique,-0.041649179172275716,-0.1791255173171486
COMPETENCE,http://data.europa.eu/esco/skill/0e685cc5-df53-451f-b987-7fd6d7025447,fournir un traitement médical anti-cancéreux,-0.22539944042144175,0.007722799888203721
COMPETENCE,http://data.europa.eu/esco/skill/a432ffcd-b58d-4417-836c-ea3282b626ca,effectuer des simulations,-0.028523970124982416,0.0019173682852410335
COMPETENCE,http://data.europa.eu/esco/skill/92d199f8-0313-42df-94be-09e12e0ed5a6,manipuler les produits radiopharmaceutiques,-0.08078494683356444,-0.06207759100428111
COMPETENCE,http://data.europa.eu/esco/skill/b4b3b539-81ae-43aa-a540-0e2ea2c7e802,stockage des aliments,-0.2893916488930153,-0.19534345391975957
COMPETENCE,http://data.europa.eu/esco/skill/34dcd78b-1a9b-4626-9d65-628cf18f17fe,fixer des bandes de renfort en bois aux éléments d’un navire,-0.32255661383717626,-0.08167062157177218
COMPETENCE,http://data.europa.eu/esco/skill/84280b98-75f7-417d-9a74-7ba278c380e5,assurer la lubrification de machines pour un fonctionnement constant,-0.23874113089520774,-0.056423562050574375
COMPETENCE,http://data.europa.eu/esco/skill/c5e8abde-d2ba-4e8e-a65e-720b71180666,données non structurées,0.002883746575549467,-0.08437652109357378
COMPETENCE,http://data.europa.eu/esco/skill/4e673124-6a25-4bdd-a1c4-f02402c61d5d,régler une brocheuse,-0.23813082216533746,-0.1633187372688631
COMPETENCE,http://data.europa.eu/esco/skill/1e430736-abcd-43a6-aec6-8ca3c57d72c6,administrer un traitement ostéopathique à des animaux,-0.09906428271517634,-0.09664652001840923
COMPETENCE,http://data.europa.eu/esco/skill/cbe6e2a5-f7bc-4162-9803-fcb9ecd86052,réaliser un soin du visage,-0.20244228633923766,-0.2319179817129491
COMPETENCE,http://data.europa.eu/esco/skill/9da22795-4383-4bea-9ac5-e80fdf16ece5,effectuer une enquête sur l’endettement,-0.036072376544760046,-0.14224546458336165
COMPETENCE,http://data.europa.eu/esco/skill/f0f3e528-d984-4238-8ef7-58a6c300cabe,utiliser un détecteur de métaux,-0.12273683062434684,-0.01870075022729326
COMPETENCE,http://data.europa.eu/esco/skill/9f910a4f-6310-4337-a078-a1b4fe643afd,créer un modèle-maître,-0.3161515308945948,-0.07648464342075555
COMPETENCE,http://data.europa.eu/esco/skill/81a66a2f-6286-466f-be26-307c85136d6a,gérer les ressources financières de services liés à des véhicules,0.007503123085415385,-0.13420634010748253
COMPETENCE,http://data.europa.eu/esco/skill/b9747ec1-f3a7-4526-b226-59d903cbfa76,enfoncer des palplanches métalliques,-0.2430333203574885,-0.05661960690646153
COMPETENCE,http://data.europa.eu/esco/skill/c8186be4-15d4-4347-b34a-53bee7015f79,manipuler le bois,-0.19369372946293142,-0.14379587382244682
COMPETENCE,http://data.europa.eu/esco/skill/39020c4b-62b0-40f3-9d63-6228dbd6f3c3,déterminer les sources de communautés cibles potentielles pour une œuvre artistique,-0.06817431948726539,-0.3122298306565474
COMPETENCE,http://data.europa.eu/esco/skill/de7bef6f-80d9-4fbe-99fc-5feb1ec2fb4c,faire l’entretien de montres et d'horloges,-0.30206694594046335,-0.22727980837920211
COMPETENCE,http://data.europa.eu/esco/skill/8804d963-5a31-4609-b5df-f741b7199fb7,audit interne,-0.008479728931590677,-0.05838223155639836
COMPETENCE,http://data.europa.eu/esco/skill/9f23a9cc-36a4-477b-a38b-9d4cb4f58c54,transférer une installation de granulation,-0.19236748075052626,-0.08757745674336108
COMPETENCE,http://data.europa.eu/esco/skill/078e6210-224d-4331-9c8e-f881259b6bb0,usage sûr des pesticides,-0.20034739240273639,-0.034323676957502304
COMPETENCE,http://data.europa.eu/esco/skill/55bead5d-b9d7-48c2-b913-39d2d99e806b,rechercher les défauts de soudure,-0.1284712832281449,-0.22814412088802524
COMPETENCE,http://data.europa.eu/esco/skill/33051fa7-bc25-4a75-80ae-c3b7cf5c744d,travailler de manière autonome dans la production alimentaire,-0.19870658806650207,-0.08328677825546536
COMPETENCE,http://data.europa.eu/esco/skill/16c2b3fb-3a41-4b0e-bb35-06e659917b02,mener des entretiens pour la recherche de contacts,-0.19923410279874273,-0.07681448342915449
