loss,grad_norm,learning_rate,epoch,step,eval_val-information-retrieval_cosine_accuracy@1,eval_val-information-retrieval_cosine_accuracy@3,eval_val-information-retrieval_cosine_accuracy@5,eval_val-information-retrieval_cosine_accuracy@10,eval_val-information-retrieval_cosine_precision@1,eval_val-information-retrieval_cosine_precision@5,eval_val-information-retrieval_cosine_precision@10,eval_val-information-retrieval_cosine_recall@1,eval_val-information-retrieval_cosine_recall@5,eval_val-information-retrieval_cosine_recall@10,eval_val-information-retrieval_cosine_ndcg@1,eval_val-information-retrieval_cosine_ndcg@5,eval_val-information-retrieval_cosine_ndcg@10,eval_val-information-retrieval_cosine_mrr@1,eval_val-information-retrieval_cosine_mrr@5,eval_val-information-retrieval_cosine_mrr@10,eval_val-information-retrieval_cosine_map@100,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.4453857966831754,23.551433563232422,5.400000000000001e-06,0.19718309859154928,28,,,,,,,,,,,,,,,,,,,,,,,,,
1.1385910851614816,13.08592414855957,1.1000000000000001e-05,0.39436619718309857,56,,,,,,,,,,,,,,,,,,,,,,,,,
0.5921300479343959,7.324715614318848,1.66e-05,0.5915492957746479,84,,,,,,,,,,,,,,,,,,,,,,,,,
0.4699258123125349,9.044292449951172,1.998395723231907e-05,0.7887323943661971,112,,,,,,,,,,,,,,,,,,,,,,,,,
0.3470677988869803,0.3595430850982666,1.9798961730615182e-05,0.9859154929577465,140,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,142,0.5127420998980632,0.617737003058104,0.6534148827726809,0.7176350662589195,0.5127420998980632,0.13068297655453617,0.07176350662589195,0.5127420998980632,0.6534148827726809,0.7176350662589195,0.5127420998980632,0.5886985950620981,0.609266941139319,0.5127420998980632,0.5670744138634047,0.5754461757519861,0.5866394036420015,53.242,0.0,0.0,,,,,
0.3004037652696882,8.634241104125977,1.9410550993406603e-05,1.1830985915492958,168,,,,,,,,,,,,,,,,,,,,,,,,,
0.3000421183449881,4.128108978271484,1.8826787983255474e-05,1.380281690140845,196,,,,,,,,,,,,,,,,,,,,,,,,,
0.2850311483655657,5.4366912841796875,1.805979095242702e-05,1.5774647887323945,224,,,,,,,,,,,,,,,,,,,,,,,,,
0.2556192874908447,5.5973029136657715,1.7125481881835802e-05,1.7746478873239435,252,,,,,,,,,,,,,,,,,,,,,,,,,
0.25550007820129395,0.1503729671239853,1.6043255958936696e-05,1.971830985915493,280,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.0,284,0.5300713557594292,0.6401630988786952,0.6829765545361876,0.7502548419979612,0.5300713557594292,0.1365953109072375,0.07502548419979613,0.5300713557594292,0.6829765545361876,0.7502548419979612,0.5300713557594292,0.6133403284474691,0.6350162749238208,0.5300713557594292,0.5900271831464493,0.5989272365419152,0.6100289183337235,62.4787,0.0,0.0,,,,,
0.2047820942742484,3.5428197383880615,1.4835578955821457e-05,2.169014084507042,308,,,,,,,,,,,,,,,,,,,,,,,,,
0.18443388598305838,6.097075939178467,1.352752086549095e-05,2.3661971830985915,336,,,,,,,,,,,,,,,,,,,,,,,,,
0.17727466991969518,6.591151714324951,1.214623547748056e-05,2.563380281690141,364,,,,,,,,,,,,,,,,,,,,,,,,,
0.1980160985674177,6.7536845207214355,1.0720396696253392e-05,2.76056338028169,392,,,,,,,,,,,,,,,,,,,,,,,,,
0.15654192652021134,0.21818086504936218,9.27960330374661e-06,2.9577464788732395,420,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.0,426,0.5412844036697247,0.6595310907237513,0.6992864424057085,0.7614678899082569,0.5412844036697247,0.13985728848114168,0.07614678899082569,0.5412844036697247,0.6992864424057085,0.7614678899082569,0.5412844036697247,0.6274913807728972,0.647391240988926,0.5412844036697247,0.6034318722392119,0.6115285665744382,0.6221568481612874,94.6109,0.0,0.0,,,,,
0.10630980559757777,5.80597448348999,7.853764522519445e-06,3.1549295774647885,448,,,,,,,,,,,,,,,,,,,,,,,,,
0.15200637068067277,3.524609088897705,6.472479134509052e-06,3.352112676056338,476,,,,,,,,,,,,,,,,,,,,,,,,,
0.14520393099103654,4.240749835968018,5.164421044178547e-06,3.5492957746478875,504,,,,,,,,,,,,,,,,,,,,,,,,,
0.1543787717819214,3.490696907043457,3.956744041063307e-06,3.7464788732394365,532,,,,,,,,,,,,,,,,,,,,,,,,,
0.1330025451523917,5.911141395568848,2.8745181181642025e-06,3.943661971830986,560,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.0,568,0.5412844036697247,0.6636085626911316,0.7074413863404689,0.763506625891947,0.5412844036697247,0.1414882772680938,0.0763506625891947,0.5412844036697247,0.7074413863404689,0.763506625891947,0.5412844036697247,0.6310633776913932,0.6491753732693668,0.5412844036697247,0.6055385660890252,0.6130030095626428,0.6238710506811317,66.8453,0.0,0.0,,,,,
0.09068621907915388,1.8737610578536987,1.9402090475729796e-06,4.140845070422535,588,,,,,,,,,,,,,,,,,,,,,,,,,
0.13365335123879568,7.407747745513916,1.1732120167445248e-06,4.338028169014084,616,,,,,,,,,,,,,,,,,,,,,,,,,
0.17180427483149938,2.975602865219116,5.894490065934e-07,4.535211267605634,644,,,,,,,,,,,,,,,,,,,,,,,,,
0.1274221454347883,4.187745571136475,2.0103826938482006e-07,4.732394366197183,672,,,,,,,,,,,,,,,,,,,,,,,,,
0.1322073255266462,3.054574728012085,1.6042767680930493e-08,4.929577464788732,700,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.0,710,0.5382262996941896,0.6554536187563711,0.7064220183486238,0.762487257900102,0.5382262996941896,0.1412844036697248,0.07624872579001019,0.5382262996941896,0.7064220183486238,0.762487257900102,0.5382262996941896,0.6288851513075442,0.6468811550829551,0.5382262996941896,0.603041114509005,0.6103882497613389,0.62131681964183,52.2643,0.0,0.0,,,,,
,,,5.0,710,,,,,,,,,,,,,,,,,,,,,15157.1023,1.498,0.047,0.0,0.3418181627569064
