source,n_chunks,coherence_mean,coherence_median,coherence_min,coherence_max
MEPC_2013,61,0.30728074528954247,0.2881259620189667,0.19100837409496307,0.5016005635261536
NCF_2017,38,0.3363826641014644,0.32105717062950134,0.2594672441482544,0.4738564193248749
diplomes,43,0.2676967426044185,0.26042813062667847,0.06593300402164459,0.45677974820137024
